track_name,artist,album,release_date,language,danceability,energy,valence,tempo,speechiness,acousticness
Pop like this Pt. 2 - Slowed,prodbycpkshawn,Pop like this Pt. 2 (Slowed),2024-06-01,English,0.772,0.423,0.281,157.156,0.0562,0.00905
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,Popular (Music from the HBO Original Series),2023-06-02,English,0.854,0.674,0.848,99.022,0.184,0.0517
Pop like this Pt. 2,prodbycpkshawn,Pop like this Pt. 2,2024-05-29,English,0.842,0.461,0.48,100.001,0.0675,0.000624
Pop Out (feat. Lil Tjay),Polo G,Die A Legend,2019-06-07,English,0.772,0.639,0.261,168.112,0.467,0.15
Pop like this Pt. 2 - Slowed,prodbycpkshawn,Pop like this Pt. 2 (Slowed),2024-05-29,English,0.772,0.423,0.281,157.156,0.0562,0.00905
Popular Monster,Falling In Reverse,Popular Monster,2019-11-20,English,0.461,0.897,0.358,165.107,0.092,0.00821
Popular Monster,Falling In Reverse,Popular Monster,2024-08-16,English,0.461,0.898,0.353,165.079,0.0931,0.0083
Poppin,Yeat,2 Alivë,2022-02-18,English,0.705,0.613,0.259,74.521,0.123,0.262
Pop like this Pt. 2 - Sped Up,prodbycpkshawn,Pop like this Pt. 2 (Sped Up),2024-05-22,English,0.847,0.559,0.476,108.004,0.0498,0.000401
POPTHATRUNK,1nonly,POPTHATRUNK,2023-08-25,English,0.73,0.782,0.593,180.068,0.05,0.0766
Pop Muzik,M,Pop Muzik,2022-06-03,English,0.935,0.833,0.967,108.914,0.0438,0.279
Pop Star,Coco & Clair Clair,Sexy,2022-11-04,English,0.891,0.67,0.938,128.046,0.135,0.203
Dior,Pop Smoke,Meet The Woo,2019-07-26,English,0.548,0.805,0.649,142.096,0.351,0.212
POP!,NAYEON,IM NAYEON,2022-06-24,English,0.795,0.859,0.356,96.986,0.0542,0.0361
Big Poppa - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),1994-09-13,English,0.78,0.575,0.773,84.492,0.273,0.43
Pop Rocks,Cherry Hencefox,Pop Rocks,2023-04-10,English,0.741,0.963,0.747,134.991,0.0517,0.0298
Poppin' My Collar (feat. Project Pat),Three 6 Mafia,Most Known Unknown,2006-06-20,English,0.729,0.795,0.856,146.747,0.144,0.354
Pop Out,Big Boogie,UNDERRATED,2021-12-24,English,0.831,0.715,0.443,135.98,0.251,0.0354
Pop See Ko,Koo Koo,"Cafetorium Songs, Vol. 1",2016-05-20,English,0.901,0.76,0.638,134.021,0.84,0.298
